Time (s)	T_hot (K)	T_cold (K)	Temp_Diff (°C) 	Vo (Vdc)	Alfa (Volt/K)	Time (s)
0.000	302.9	301.4	1.5	14.8926	9.9284	0.403
0.304	305.4	298.15	7.3	12.8906	1.778	0.707
0.578	315.15	295.15	20.0	13.6719	0.6836	0.981
0.856	323.4	291.9	31.5	14.4043	0.4573	1.259
1.130	331.9	289.4	42.5	15.0391	0.3539	1.533
1.409	334.15	287.4	46.8	15.2832	0.3269	1.812
1.684	343.15	285.4	57.8	15.332	0.2655	2.087
1.962	353.15	284.9	68.3	3.4668	0.0508	2.365
2.238	355.65	286.65	69.0	3.125	0.0453	2.641
2.511	353.4	289.4	64.0	2.8809	0.045	2.914
2.790	351.4	291.9	59.5	2.6855	0.0451	3.193
3.064	349.65	293.9	55.8	2.4414	0.0438	3.467
3.339	346.9	296.4	50.5	2.2461	0.0445	3.742
3.613	345.15	298.65	46.5	2.0508	0.0441	4.016
3.892	343.15	300.15	43.0	1.9043	0.0443	4.295
4.166	341.9	301.65	40.3	1.7578	0.0437	4.569
4.441	340.15	302.65	37.5	1.5137	0.0404	4.844
4.715	338.65	304.4	34.3	1.416	0.0413	5.118
4.993	336.9	304.9	32.0	1.3184	0.0412	5.396
5.267	336.15	306.9	29.3	1.1719	0.0401	5.67
5.542	334.4	307.9	26.5	1.0742	0.0405	5.945
5.816	333.15	308.65	24.5	0.9766	0.0399	6.219
6.095	332.4	309.9	22.5	0.9277	0.0412	6.498
6.369	331.4	310.65	20.8	0.8301	0.04	6.772
6.644	330.9	310.4	20.5	0.7324	0.0357	7.047
6.918	330.4	311.4	19.0	0.6836	0.036	7.321
7.196	330.65	312.65	18.0	0.6348	0.0353	7.599
7.471	329.9	312.9	17.0	0.5859	0.0345	7.874
7.746	329.15	313.4	15.8	0.4883	0.031	8.149
8.098	328.15	313.4	14.8	0.4883	0.0331	8.501
8.298	327.15	314.4	12.8	0.4395	0.0345	8.701
8.573	326.15	314.15	12.0	0.4395	0.0366	8.976
8.847	325.9	314.15	11.8	0.3906	0.0332	9.25
9.121	325.65	315.15	10.5	0.293	0.0279	9.524
9.399	324.9	315.65	9.3	0.293	0.0317	9.802
9.673	324.65	315.65	9.0	0.1953	0.0217	10.076
9.948	323.9	315.4	8.5	0.1953	0.023	10.351
10.222	323.9	316.4	7.5	0.1953	0.026	10.625
10.498	323.15	316.15	7.0	0.1953	0.0279	10.901
10.771	322.15	316.65	5.5	0.1465	0.0266	11.174
11.046	322.65	316.65	6.0	0.0977	0.0163	11.449
11.320	322.4	316.65	5.8	0.0977	0.017	11.723
11.594	322.4	316.65	5.8	0.1465	0.0255	11.997
11.869	322.15	316.65	5.5	0.0488	0.0089	12.272
12.143	321.65	317.15	4.5	0.0977	0.0217	12.546
12.418	321.65	316.4	5.3	0.0488	0.0093	12.821
12.692	321.65	316.9	4.8	0	0	13.095
12.966	321.15	317.15	4.0	0	0	13.369
13.241	321.15	317.15	4.0	0	0	13.644
13.516	320.4	317.15	3.3	0	0	13.919
13.790	320.4	316.9	3.5	0.0488	0.014	14.193
14.065	320.65	317.4	3.3	0	0	14.468
14.335	320.15	316.65	3.5	0	0	14.738
14.609	319.9	317.4	2.5	0	0	15.012
14.884	319.9	317.15	2.8	0	0	15.287
15.158	319.9	317.4	2.5	0	0	15.561
15.433	319.65	317.4	2.3	0	0	15.836
15.708	320.15	317.15	3.0	0	0	16.111
15.981	319.65	317.15	2.5	0	0	16.384
16.256	319.9	316.65	3.3	0	0	16.659
16.530	319.65	317.15	2.5	0	0	16.933
16.805	319.65	317.4	2.3	0	0	17.208
17.080	319.65	317.4	2.3	0	0	17.483
17.353	319.4	317.15	2.3	0	0	17.756
17.629	319.15	316.9	2.3	0	0	18.032
17.903	319.15	317.15	2.0	0	0	18.306
18.177	318.9	316.9	2.0	0	0	18.58
18.451	318.9	316.9	2.0	0	0	18.854
18.726	319.15	316.9	2.3	0	0	19.129
19.000	319.15	317.15	2.0	0	0	19.403
19.274	318.9	317.15	1.8	0	0	19.677
19.549	318.9	317.15	1.8	0	0	19.952
19.823	318.65	317.4	1.3	0	0	20.226
20.098	318.65	316.9	1.8	0	0	20.501
20.372	318.65	316.9	1.8	0	0	20.775
20.648	318.65	317.4	1.3	0	0	21.051
20.921	318.4	316.9	1.5	0	0	21.324
21.195	318.4	317.15	1.3	0	0	21.598
21.470	318.15	316.65	1.5	0	0	21.873
21.744	318.15	316.65	1.5	0	0	22.147
22.019	318.4	316.65	1.8	0	0	22.422
22.294	318.4	316.65	1.8	0	0	22.697
22.568	317.9	316.65	1.3	0	0	22.971
22.842	317.65	316.65	1.0	0	0	23.245
